user;word_pl;lang;translation;correct;time
pf;podobać się, być lubianym;latin;placeō;True;2023-05-02 17:27:58
pf;mieszkać;latin;habitō;True;2023-05-02 17:28:01
pf;rozgłaszać;latin;celebrō;True;2023-05-02 17:28:03
pf;zawdzięczać (coś komuś);latin;dēbeō;True;2023-05-02 17:28:05
pf;pokazywać;latin;monstrō;True;2023-05-02 17:28:10
pf;dostarczać, przynosić;latin;praebeo;False;2023-05-02 17:28:13
pf;mały;latin;parvus;True;2023-05-02 17:28:19
pf;przez (+ acc);latin;per;True;2023-05-02 17:28:20
pf;trudno;latin;difficile;True;2023-05-02 17:28:22
pf;robotnik;latin;operarius;True;2023-05-02 17:28:26
pf;być zdrowym, mieć się dobrze;latin;valeō;True;2023-05-02 17:28:31
pf;tylko;latin;tantum;False;2023-05-02 17:28:37
pf;wiatr;latin;ventus;True;2023-05-02 17:28:41
pf;żeglować;latin;nāvigo;True;2023-05-02 17:28:43
pf;pragnąć;latin;cupio;True;2023-05-02 17:28:45
pf;jednak;latin;tamen;False;2023-05-02 17:28:49
pf;więc;latin;ĭtăquĕ;False;2023-05-02 17:28:54
pf;przygotowywać;latin;paro;True;2023-05-02 17:32:38
pf;rzadki, mało kto;latin;rarus;True;2023-05-02 17:32:40
pf;dostarczać, przynosić;latin;praebeo;True;2023-05-02 17:32:43
pf;i;latin;atque;True;2023-05-02 17:32:46
pf;zgoda;latin;concordia;True;2023-05-02 17:32:48
pf;budynek;latin;aedeficium;True;2023-05-02 17:32:51
pf;jednomyślny, zgodny;latin;ūnanimus;True;2023-05-02 17:32:53
pf;także;latin;quoque;False;2023-05-02 17:32:56
pf;szczęśliwy;latin;beātus;True;2023-05-02 17:33:01
pf;zaś;latin;autem;False;2023-05-02 17:33:03
pf;pokazywać;latin;monstrō;True;2023-05-02 17:33:06
pf;więc;latin;ĭtăquĕ;False;2023-05-02 17:33:09
pf;uczyć się;latin;discō;False;2023-05-02 17:33:18
pf;przez (+ acc);latin;per;True;2023-05-02 17:33:21
pf;zawsze;latin;semper;True;2023-05-02 17:33:23
pf;oddawać się czemuś, zajmować się czymś (+ dat);latin;studeo;True;2023-05-02 17:33:26
pf;spieszyć się, spieszyć;latin;properō;False;2023-05-02 17:33:29
pf;pilność;latin;dīligentia;True;2023-05-02 17:33:34
pf;dobrze;latin;bene;True;2023-05-02 17:33:35
pf;dowozić;latin;adveho;False;2023-05-02 17:33:40
pf;karać;latin;castīgo;True;2023-05-02 17:33:44
pf;być;latin;sum;True;2023-05-02 17:33:46
pf;więc;latin;ĭtăquĕ;True;2023-05-02 17:33:50
pf;tylko;latin;tantum;True;2023-05-02 17:33:53
pf;gdzie;latin;ubi;True;2023-05-02 17:33:54
pf;mieszkaniec;latin;incola;True;2023-05-02 17:33:56
pf;rola, pole;latin;ager;True;2023-05-02 17:33:58
pf;jednak;latin;tamen;False;2023-05-02 17:34:02
pf;do (+ acc);latin;in;True;2023-05-02 17:34:44
pf;bardzo;latin;valdē;True;2023-05-02 17:34:47
pf;handel;latin;mercātūra;True;2023-05-02 17:34:49
pf;zostawać;latin;maneo;True;2023-05-02 17:34:51
pf;lub;latin;aut;True;2023-05-02 17:34:53
pf;chętnie;latin;libenter;True;2023-05-02 17:34:55
pf;uczyć, nauczać;latin;doceo;True;2023-05-02 17:34:58
pf;już;latin;iam;True;2023-05-02 17:35:00
pf;sprzedawać;latin;vendo;True;2023-05-02 17:35:03
pf;lecz;latin;sed;True;2023-05-02 17:35:06
pf;bać się;latin;timeō;True;2023-05-02 17:35:07
pf;spieszyć się, spieszyć;latin;properō;True;2023-05-02 17:35:10
pf;czcić;latin;colo;True;2023-05-02 17:35:11
pf;unikać;latin;vītō;False;2023-05-02 17:35:13
pf;być zdrowym, mieć się dobrze;latin;valeō;True;2023-05-02 17:35:17
pf;ciągły, trwały, wieczny;latin;sempiternus;True;2023-05-02 17:35:19
pf;rzeka;latin;fluvius;True;2023-05-02 17:35:21
pf;zawdzięczać (coś komuś);latin;dēbeō;True;2023-05-02 17:35:23
pf;ponieważ;latin;quia;True;2023-05-02 17:35:28
pf;orać;latin;aro;True;2023-05-02 17:35:30
pf;w (+ abl);latin;in;True;2023-05-02 17:35:31
pf;sąsiedzi;latin;fīnitimī;True;2023-05-02 17:35:34
pf;pragnąć;latin;cupio;True;2023-05-02 17:35:38
pf;uczyć się;latin;discō;True;2023-05-02 17:35:41
pf;troszczyć się, dbać (o coś + dat);latin;cūrō;True;2023-05-02 17:35:42
pf;żeglarz;latin;nauta;True;2023-05-02 17:35:44
pf;często;latin;saepe;True;2023-05-02 17:35:50
pf;oszczędność;latin;parsimonia;True;2023-05-02 17:35:53
pf;patrzeć, widzieć;latin;spectō;True;2023-05-02 17:35:55
pf;znany;latin;notus;True;2023-05-02 17:35:58
pf;tam;latin;ibi;True;2023-05-02 17:36:04
pf;ciągnąć, pociągać;latin;traho;True;2023-05-02 17:36:06
pf;czytać;latin;legō;True;2023-05-02 17:36:08
pf;rzemieślnik;latin;faber;True;2023-05-02 17:36:10
pf;bawić się;latin;lūdō;True;2023-05-02 17:36:12
pf;zmieniać;latin;mūto;True;2023-05-02 17:36:15
pf;miły;latin;gratus;True;2023-05-02 17:36:17
pf;uprawiać;latin;colo;True;2023-05-02 17:36:20
pf;urodzajny;latin;fēcundus;True;2023-05-02 17:36:24
pf;jednak;latin;tamen;True;2023-05-02 17:36:26
pf;zazdrościć (komus + dat);latin;invideo;True;2023-05-02 17:36:32
pf;zwierzę pociągowe;latin;iūmentum;True;2023-05-02 17:36:38
pf;zdobywać;latin;paro;True;2023-05-02 17:36:40
pf;wtedy, następnie;latin;tum;True;2023-05-02 17:36:42
pf;rzecz ludzka;latin;humanum;True;2023-05-02 17:36:44
pf;umieć;latin;scio;True;2023-05-02 17:36:48
pf;winnica;latin;vinea;True;2023-05-02 17:36:49
pf;twierdzić;latin;affirmo;True;2023-05-02 17:36:51
pf;widzieć;latin;video;True;2023-05-02 17:36:54
pf;troska;latin;cūra;True;2023-05-02 17:36:56
pf;składać ofiarę;latin;sacrifico;True;2023-05-02 17:37:01
pf;jeśli;latin;sī;False;2023-05-02 17:37:03
pf;jeśli;latin;sī;True;2023-05-02 17:37:05
pf;odpowiedni, nadający się;latin;idōneus;True;2023-05-02 17:37:10
pf;czynić, pędzić;latin;ago;True;2023-05-02 17:37:12
pf;dowozić;latin;adveho;True;2023-05-02 17:37:16
pf;odpoczynek;latin;ōtium;True;2023-05-02 17:37:25
pf;nigdy;latin;numquam;True;2023-05-02 17:37:27
pf;zabijać na ofiarę;latin;macto;True;2023-05-02 17:37:30
pf;unikać;latin;vītō;False;2023-05-02 17:37:32
pf;wsiadać, dosiadać (+ acc);latin;conscendō;True;2023-05-02 17:37:36
pf;ukazywać się;latin;appareo;True;2023-05-02 17:37:38
pf;unikać;latin;vītō;False;2023-05-02 17:37:40
pf;dziecko;latin;liber;True;2023-05-02 17:37:47
pf;burza;latin;procella;False;2023-05-02 17:37:49
pf;z (kim, czym) (+ abl);latin;cum;True;2023-05-02 17:37:52
pf;doświadczony;latin;perītus;True;2023-05-02 17:37:54
pf;mylić się;latin;erro;True;2023-05-02 17:37:55
pf;pomagać, być pożytecznym;latin;prōsum;True;2023-05-02 17:38:04
pf;także;latin;quoque;False;2023-05-02 17:38:09
